step,price
1,-0.6264538107423324
2,-0.4428104865202502
3,-1.2784390989302974
4,0.3168417032074942
5,0.6463494750228547
6,-0.17411890909516053
7,0.31331014333332474
8,1.051634848462542
9,1.6274162001160344
10,1.3220278129596783
11,2.8338089814105265
12,3.2236522178219573
13,2.6024116372801536
14,0.3877117501026538
15,1.5126426682457619
16,1.467709059230531
17,1.451518796131585
18,2.3953550068168843
19,3.2165762019149726
20,3.8104775231324814
21,4.7294548947407
22,5.511591195471767
23,5.586156178836958
24,3.596804482973585
25,4.2166302308682955
26,4.160501491339295
27,4.004705984633965
28,2.5339536007346903
29,2.05580354562607
30,2.4737451058257727
31,3.8324246573548164
32,3.729636930011821
33,4.11730854157119
34,4.063503500988285
35,2.6864439441596786
36,2.2714493808599987
37,1.8771594271496495
38,1.8178460304384638
39,2.917871402422347
40,3.681047150879891
41,3.5165235546263043
42,3.2631618744897963
43,3.960125249894534
44,4.5167884485681915
45,3.8280327540186714
46,3.120537597056552
47,3.485119559193382
48,4.253652483708798
49,4.14130627155857
50,5.022413998012785
51,5.420519878379853
52,4.808493485129081
53,5.1496131765535065
54,4.020250080472714
55,5.453273782173751
56,7.43367368067961
57,7.0664522042131015
58,6.022317577896571
59,6.5920372053389835
60,6.456982601458159
61,8.858600361962935
62,8.819360359229766
63,9.509099721680544
64,9.53710188046121
65,8.793828671578805
66,8.982620971093146
67,7.177662342202109
68,8.643217203764994
69,8.796470541976893
70,10.969082212339046
71,11.444591741238709
72,10.734645310316893
73,11.345371663805949
74,10.411274032161696
75,9.157640631922595
76,9.449086867440057
77,9.005794994221624
78,9.006900345853248
79,9.081241670004912
80,8.49172072381684
81,7.923051990998339
82,7.787873375874507
83,8.96596037244771
84,7.4423935720179495
85,8.03633975964637
86,8.36929013085989
87,9.43238996813625
88,9.128206044501951
89,9.49822485441824
90,9.76532364519047
91,9.22280361419882
92,10.430671420181993
93,11.591074035876943
94,12.291287685391941
95,13.878121139932787
96,14.436607565498091
97,13.160015357040054
98,12.586749942803168
99,11.362137327904813
100,10.888736691465501
