sample_mkt_1y,sample_mkt_15y,sample_rf_1y,sample_rf_15y,mkt_1y_rank,mkt_15y_rank,rf_1y_rank,rf_15y_rank
-14.228475036735045,11.11996548739873,2.248244429265367,4.008339155627394,8,27,4,50
4.815955184260501,12.938695989797043,3.110863743759573,3.2744846397233074,23,35,22,27
16.447197032277906,12.1540238074749,3.2034329415452367,3.4242984597186332,34,32,27,44
-4.834818479868741,16.10000759616266,3.625957057536544,3.0556126829697217,14,45,32,5
43.82760037819584,12.962959840926702,3.801848653717843,3.254291351630645,49,37,37,26
-5.073849906029437,7.281914827700042,2.700473036740325,2.988313165743217,13,17,11,2
6.136677017332914,9.847333961347893,4.392522416018374,3.253614615090572,24,24,45,25
3.0508099124212595,7.55178663586904,2.926793728167021,3.2781673190451333,20,19,18,29
-19.06943359837323,6.858616287099983,3.7083503784398175,3.4080922104563482,5,14,35,42
3.073076325127455,10.177821882626636,1.7421475697047217,3.2815339178632774,21,25,1,31
13.8604874015829,10.39968845321888,3.3173333006778716,3.001921594372936,29,26,29,3
30.632385597641765,12.31175052265896,3.988321971260911,3.3375851707210247,44,33,41,35
-15.68706575809391,14.799588035717303,4.204929458046047,3.2168925096364154,7,40,42,24
-7.0666350606780615,11.66133964754248,2.710387545584192,3.10153926207668,12,31,13,10
47.07543878753631,12.94246613679617,3.0906723341863396,3.3325918042489633,50,36,20,34
10.177979394946979,14.932505700247134,4.934329980310093,3.284130692548959,26,41,49,32
28.361261378573268,15.375167846802483,3.8749144873168273,3.278925105026187,42,43,38,30
15.389949864078577,6.490408637552014,4.725029427376404,3.403981815693835,30,13,48,41
-7.4162335530437495,3.460225383293669,3.090742195758267,3.0593234024158367,11,3,21,6
16.908915631986112,14.08611552519985,3.9271355034574906,3.1825591987554303,36,39,40,19
34.9236099204411,8.432074251580413,3.634093890216361,3.764755314065127,46,22,33,48
-20.745770441446176,5.608107906207427,4.3749246227422045,3.102196223217768,4,9,43,11
19.768339500092114,11.430976032808914,2.445533655096055,3.720880426812978,39,30,8,47
16.362841835536003,11.334541604182924,2.783011221250664,3.3393171799839028,33,29,15,37
-1.416261708320754,6.470984441110961,4.496880476201515,3.2054664727210858,19,12,47,22
16.15938566765276,6.945635055125954,2.3105505356669775,3.064630087804643,31,15,5,7
-17.36061521948794,5.58416056869353,2.690269772124121,3.2037891682002773,6,7,10,21
39.512355304096424,17.337904225960422,2.0980970167382207,3.103663384728339,48,47,2,13
-23.78141724109034,12.389427711288281,3.1428340416573386,3.11801674015586,3,34,24,15
-27.60110008033896,2.0081816788278806,3.8914072441556646,3.3390282541039262,2,1,39,36
16.725916088124592,7.170081349886859,2.60761839206729,3.053130752034461,35,16,9,4
29.913984505983173,9.188084987090983,5.509968693611889,3.8574162714215543,43,23,50,49
13.6143888338923,17.80362162460307,3.4192208341887964,3.355718381978745,28,48,30,39
-2.817910933894996,4.9234131344779275,4.381714425379002,3.492076791661769,17,5,44,46
-28.492704718397054,11.16225690969863,2.363262202672689,3.2129489689879387,1,28,6,23
-4.231522707654467,6.4146858569017695,4.478099900185195,3.1060504846558867,15,11,46,14
22.997174612547088,8.08276629734217,2.925288826305583,3.422868944644164,40,20,17,43
10.643618662451736,16.28444377607923,2.7010640962946475,2.8630177157603853,27,46,12,1
17.27958277658379,18.36067652175508,3.181684821854347,3.3394043014423502,37,49,25,38
17.36254287377843,5.602678346116563,3.138148768486926,3.167824114776785,38,8,23,18
-7.908988623798773,15.411200411168192,2.8550525800763005,3.1029894335820707,10,44,16,12
-12.569016769409602,18.397253371676968,3.778997001466089,3.306361784278389,9,50,36,33
33.96521363246436,6.367660980695367,3.0491104414005044,3.1613460741280353,45,10,19,17
8.375114326250287,13.234297453436938,2.2409293505539996,3.080371613448385,25,38,3,9
4.488374871781464,2.1377413860204975,3.6851286243194226,3.069487825040884,22,2,34,8
-2.025924030309978,15.056785799162054,2.7403005995938923,3.196149925533809,18,42,14,20
16.24305089161333,5.15940100819261,3.5224120654225866,3.485017977367555,32,6,31,45
-2.9125424601142202,8.340352906742021,3.182260280219862,3.1457361051628663,16,21,26,16
25.4300511001744,7.290736549046017,2.3735546723295142,3.3811904174385177,41,18,7,40
39.44513447071878,3.938075094953186,3.296058595071938,3.276051166655547,47,4,28,28
